iter	RMSE
0	0.7311824574
1	0.7297054587
2	0.7284196206
3	0.7272943965
4	0.7261891027
5	0.7252313095
6	0.724529197
7	0.7238259027
8	0.7232296079
9	0.7226681833
10	0.7221411226
11	0.7216416492
12	0.7211666132
13	0.7204842379
14	0.720138925
15	0.7197139822
16	0.7193408863
17	0.7189867567
18	0.7186201736
19	0.7182221506
20	0.7179655533
21	0.7176967169
22	0.7173967034
23	0.7170268514
24	0.7167607036
25	0.7165109174
26	0.7162085163
27	0.715967797
28	0.7156658935
29	0.7154902538
30	0.7152559098
31	0.715086996
32	0.7148444491
33	0.7146381884
34	0.7143609564
35	0.7141689671
36	0.7140234814
37	0.7138705793
38	0.7136670849
39	0.7135147716
40	0.7133311456
41	0.7131430781
42	0.7129697358
43	0.7128235762
44	0.712694064
45	0.712554769
46	0.7123773397
47	0.7122483634
48	0.7121019677
49	0.7119906639
50	0.7118871371
51	0.711730843
52	0.7116105807
53	0.7114730449
54	0.7113547183
55	0.7112552236
56	0.7111734612
57	0.7110471938
58	0.7108845635
59	0.7108127602
60	0.7107245562
61	0.7105864671
62	0.710475721
63	0.710355949
64	0.7102696035
65	0.710186645
66	0.71004955
67	0.7099505722
68	0.7098475513
69	0.7097472592
70	0.7096592204
71	0.7095921402
72	0.7094963234
73	0.7093743669
74	0.70925518
75	0.7091807768
76	0.7090739891
77	0.7089928525
78	0.7089006011
79	0.7088306304
80	0.7087618859
81	0.7086601308
82	0.7085640052
83	0.7084703705
84	0.7083770187
85	0.7082809965
86	0.7082190024
87	0.7081556723
88	0.7080874118
89	0.7079938766
90	0.7079241796
91	0.7078636302
92	0.707778913
93	0.7076879079
94	0.707608678
95	0.7075572128
96	0.7074924737
97	0.7073987946
98	0.7073255574
99	0.7072397298
100	0.7071710889
101	0.7071004035
102	0.7070290565
103	0.7069526539
104	0.7068611548
105	0.706794471
106	0.7067451875
107	0.706678614
108	0.7066262355
109	0.706562908
110	0.7065023587
111	0.7064085943
112	0.706343081
113	0.7062700248
114	0.70621195
115	0.7061497809
116	0.70608694
117	0.7060350389
118	0.7059929546
119	0.7059503287
120	0.7058856193
121	0.7058315542
122	0.7057708301
123	0.7057194596
124	0.705670251
125	0.7055930863
126	0.7055265283
127	0.7054751277
128	0.705386062
129	0.7053212421
130	0.7052627709
131	0.7052051157
132	0.7051527139
133	0.7050612233
134	0.7049946561
135	0.7049335147
136	0.7048792605
137	0.7048074069
138	0.7047315289
139	0.7046639319
140	0.7045927393
141	0.7045266866
142	0.7044630879
143	0.704382345
144	0.7043215636
145	0.7042756496
146	0.7042446036
147	0.7041585158
148	0.704096126
149	0.7040204567
150	0.7039541923
151	0.7038947943
152	0.7038106167
153	0.703747277
154	0.7036892899
155	0.7036267939
156	0.7035697858
157	0.7034965183
158	0.7034338521
159	0.7033680177
160	0.7033183803
161	0.7032487269
162	0.7031981198
163	0.7031443085
164	0.7030990384
165	0.7030385465
166	0.702997366
167	0.7029419748
168	0.7028951099
169	0.7028592319
170	0.7028019196
171	0.7027412015
172	0.7026810079
173	0.7026444747
174	0.7025899841
175	0.7025389803
176	0.7024784298
177	0.7024017375
178	0.7023352657
179	0.7022883925
180	0.7022280942
181	0.7021728059
182	0.7021237617
183	0.7020675286
184	0.701991529
185	0.7019347262
186	0.7018879354
187	0.701828745
188	0.7017867863
189	0.7017456077
190	0.7016915343
191	0.7016459841
192	0.701611901
193	0.7015519276
194	0.7014820485
195	0.701433405
196	0.7013821489
197	0.7013256339
198	0.7012683905
199	0.7012162267
200	0.7011562023
201	0.7011028623
202	0.7010392539
203	0.7009782477
204	0.7009330119
205	0.7008907161
206	0.7008404246
207	0.700792052
208	0.700755546
209	0.7007103407
210	0.7006665661
211	0.7006197618
212	0.7005608795
213	0.7005177294
214	0.7004570068
215	0.7004033699
216	0.7003548068
217	0.7002955161
218	0.700250483
219	0.7002120291
220	0.7001505704
221	0.7001069747
222	0.7000611855
223	0.7000199723
224	0.6999762542
225	0.6999249882
226	0.6998769555
227	0.6998230349
228	0.6997919442
229	0.6997572914
230	0.6997117193
231	0.6996715051
232	0.6996332798
233	0.6995956866
234	0.6995683714
235	0.6995125587
236	0.6994755678
237	0.6994340962
238	0.699401936
239	0.6993587902
240	0.6993103177
241	0.6992649776
242	0.6992193178
243	0.6991647292
244	0.6991277068
245	0.6990772749
246	0.6990187501
247	0.6989656115
248	0.6989228964
249	0.6988765511
250	0.6988351033
251	0.6987855433
252	0.6987485872
253	0.6987100703
254	0.6986644559
255	0.6986268203
256	0.6985848496
257	0.6985302965
258	0.6984868111
259	0.6984458571
260	0.6984038677
261	0.6983631074
262	0.6983170671
263	0.6982805427
264	0.6982320433
265	0.6981966866
266	0.698164059
267	0.6981257941
268	0.6980879035
269	0.6980506158
270	0.6980210649
271	0.6979779855
272	0.6979359056
273	0.6978986137
274	0.6978674258
275	0.6978280031
276	0.6977842819
277	0.6977446663
278	0.6976918455
279	0.6976494963
280	0.6976227039
281	0.6975938949
282	0.6975471853
283	0.6975172223
284	0.69747916
285	0.6974493117
286	0.6974200343
287	0.697383928
288	0.6973545322
289	0.6973312476
290	0.697297533
291	0.6972601405
292	0.697223335
293	0.6971676594
294	0.6971277082
295	0.6970849735
296	0.6970298531
297	0.6969886711
298	0.6969584179
299	0.6969278038
300	0.6968889666
301	0.6968361093
302	0.6967968173
303	0.6967452808
304	0.6967119254
305	0.6966653121
306	0.6966372015
307	0.6966053353
308	0.696581024
309	0.6965427114
310	0.6965075643
311	0.6964710325
312	0.6964336865
313	0.6963953726
314	0.6963604252
315	0.6963296343
316	0.6962887324
317	0.6962449794
318	0.6962209314
319	0.6961742847
320	0.6961377466
321	0.6961012499
322	0.6960672951
323	0.6960380461
324	0.6959917403
325	0.6959529405
326	0.6959169927
327	0.6958796206
328	0.6958497745
329	0.6958203742
330	0.6957934008
331	0.6957596017
332	0.6957301158
333	0.6956830792
334	0.6956446921
335	0.6956127699
336	0.6955916081
337	0.6955507141
338	0.6955098343
339	0.6954706165
340	0.6954355189
341	0.6953955488
342	0.6953560077
343	0.6953184797
344	0.6952813163
345	0.6952441999
346	0.6952159107
347	0.6951830124
348	0.6951503742
349	0.6951269048
350	0.695103153
351	0.6950749705
352	0.6950428481
353	0.6950209776
354	0.6949861269
355	0.6949569157
356	0.6949225676
357	0.6948754919
358	0.6948372633
359	0.6948124098
360	0.6947673691
361	0.6947379899
362	0.6947061015
363	0.6946761397
364	0.6946354938
365	0.6946061486
366	0.6945472905
367	0.694510495
368	0.6944779913
369	0.6944356931
370	0.6943999525
371	0.6943724548
372	0.6943426625
373	0.6943065738
374	0.6942685368
375	0.6942451687
376	0.6942149731
377	0.6941772427
378	0.6941492235
379	0.6941285084
380	0.6940936194
381	0.6940524812
382	0.6940239714
383	0.6940018565
384	0.6939725533
385	0.6939431005
386	0.6939022809
387	0.6938793293
388	0.6938300539
389	0.6938069939
390	0.6937842871
391	0.6937555756
392	0.6937281846
393	0.6936969213
394	0.6936731693
395	0.6936331968
396	0.6935940723
397	0.6935590113
398	0.6935194978
399	0.6934858438
400	0.6934567161
401	0.6934176785
402	0.6933912831
403	0.6933622771
404	0.6933294944
405	0.6933042387
406	0.6932811285
407	0.6932529369
408	0.6932271344
409	0.6931992165
410	0.6931825853
411	0.693144074
412	0.6930931058
413	0.6930615314
414	0.6930243124
415	0.6929947041
416	0.6929612938
417	0.6929350023
418	0.6929061911
419	0.6928719939
420	0.6928369867
421	0.6928042092
422	0.6927675782
423	0.6927400955
424	0.692716948
425	0.6926782204
426	0.6926550115
427	0.6926133944
428	0.6925830013
429	0.6925494984
430	0.6925117871
431	0.6924903489
432	0.6924555912
433	0.6924210126
434	0.6923948405
435	0.6923607024
436	0.6923351127
437	0.6923044262
438	0.6922736035
439	0.6922443705
440	0.6922138104
441	0.6921913241
442	0.6921675022
443	0.6921364394
444	0.6920960931
445	0.6920685345
446	0.6920460726
447	0.6920154692
448	0.6919881315
449	0.691958343
450	0.6919299399
451	0.6918977025
452	0.6918709879
453	0.6918456326
454	0.6918118109
455	0.6917803381
456	0.6917549682
457	0.6917189815
458	0.69168955
459	0.6916631139
460	0.6916308153
461	0.6916085197
462	0.6915808596
463	0.6915520403
464	0.6915131441
465	0.691490953
466	0.691458929
467	0.6914198799
468	0.6913749028
469	0.6913561742
470	0.6913233183
471	0.6912959926
472	0.6912762936
473	0.691250009
474	0.6912165787
475	0.6911854964
476	0.6911537565
477	0.6911209008
478	0.6910860985
479	0.691058422
480	0.6910259125
481	0.6909887302
482	0.6909540888
483	0.6909280003
484	0.6909052965
485	0.6908610404
486	0.6908334049
487	0.6907908524
488	0.6907654184
489	0.6907205972
490	0.6906922063
491	0.6906522263
492	0.6906274383
493	0.6905969706
494	0.6905676106
495	0.6905341922
496	0.6904876881
497	0.6904567014
498	0.6904288966
499	0.6904121787
500	0.6903858015
501	0.6903566353
502	0.6903313586
503	0.6903041323
504	0.6902704991
505	0.6902525229
506	0.6902317637
507	0.6902066916
508	0.6901742225
509	0.6901546965
510	0.6901244452
511	0.690095943
512	0.6900690981
513	0.6900414046
514	0.6900234739
515	0.6899923907
516	0.6899625367
517	0.6899299069
518	0.6898950057
519	0.6898709941
520	0.6898444411
521	0.6898173804
522	0.689792352
523	0.689765539
524	0.6897349141
525	0.6897066539
526	0.6896798654
527	0.6896504209
528	0.689618958
529	0.6895810967
530	0.6895598131
531	0.6895321641
532	0.6894838908
533	0.6894568284
534	0.6894382065
535	0.6894084334
536	0.6893777098
537	0.6893529768
538	0.6893282547
539	0.6893090462
540	0.6892840621
541	0.689260839
542	0.6892322073
543	0.6892093713
544	0.6891881978
545	0.6891606477
546	0.6891359339
547	0.6891046737
548	0.6890821317
549	0.6890586503
550	0.689046798
551	0.6890156709
552	0.6889888093
553	0.6889602928
554	0.6889388541
555	0.6889152115
556	0.688891044
557	0.6888625926
558	0.6888356118
559	0.6888032978
560	0.6887793693
561	0.6887498681
562	0.6887339427
563	0.6887008915
564	0.6886831421
565	0.6886515897
566	0.6886171753
567	0.6885869355
568	0.688556692
569	0.6885340597
570	0.6885149747
571	0.6884843395
572	0.6884562813
573	0.6884327943
574	0.6883931357
575	0.6883661316
576	0.6883222086
577	0.688298146
578	0.6882676494
579	0.6882418902
580	0.6882184249
581	0.6881962588
582	0.6881659086
583	0.6881389478
584	0.6881165822
585	0.6880888157
586	0.6880619414
587	0.6880299507
588	0.6879998407
589	0.6879654137
590	0.6879436947
591	0.6879158886
592	0.6878847785
593	0.6878583602
594	0.6878221223
595	0.6877980702
596	0.6877764781
597	0.6877534788
598	0.6877212435
599	0.6876984191
600	0.6876663649
601	0.6876408741
602	0.6876092958
603	0.6875829909
604	0.6875505111
605	0.6875303869
606	0.687504705
607	0.6874734147
608	0.6874415861
609	0.6874174592
610	0.6873990535
611	0.6873711955
612	0.6873458496
613	0.6873192238
614	0.6872956457
615	0.6872553547
616	0.6872285265
617	0.6872003655
618	0.6871732516
619	0.6871454394
620	0.6871189706
621	0.6871007221
622	0.6870662727
623	0.6870287298
624	0.6870009032
625	0.6869661109
626	0.6869439566
627	0.6869212173
628	0.6868971446
629	0.6868689539
630	0.6868548689
631	0.6868324394
632	0.6868066596
633	0.6867816023
634	0.6867537439
635	0.6867300152
636	0.6866951122
637	0.6866686604
638	0.6866418179
639	0.6866183408
640	0.6865902511
641	0.6865613691
642	0.6865347663
643	0.6865154724
644	0.6864885252
645	0.686465171
646	0.6864307466
647	0.6864066407
648	0.6863817587
649	0.6863633838
650	0.6863461055
651	0.686329345
652	0.68631217
653	0.6862875646
654	0.6862601037
655	0.6862344929
656	0.6862115728
657	0.6861839659
658	0.6861564837
659	0.6861365154
660	0.686108953
661	0.6860789388
662	0.6860542743
663	0.6860323501
664	0.6860063257
665	0.6859777307
666	0.6859540521
667	0.6859252509
668	0.685895623
669	0.6858765822
670	0.6858496099
671	0.6858235932
672	0.6857956408
673	0.6857722568
674	0.6857438217
675	0.6857195687
676	0.68570091
677	0.6856716611
678	0.6856537903
679	0.6856252522
680	0.6855999673
681	0.6855828306
682	0.6855582837
683	0.6855338293
684	0.6855058602
685	0.6854750872
686	0.6854470681
687	0.685419621
688	0.6853964389
689	0.685370035
690	0.6853429048
691	0.6853154659
692	0.6852832883
693	0.6852438763
694	0.6852289808
695	0.6852018209
696	0.6851831573
697	0.6851663047
698	0.6851409473
699	0.6851225304
700	0.6851002631
701	0.6850730648
702	0.68505495
703	0.6850319938
704	0.6850037221
705	0.6849828139
706	0.6849538158
707	0.6849242841
708	0.6849042053
709	0.6848772584
710	0.6848508665
711	0.6848247842
712	0.684803507
713	0.684770502
714	0.6847467163
715	0.6847278913
716	0.6847076584
717	0.684683627
718	0.684663133
719	0.6846351503
720	0.6846090005
721	0.6845838269
722	0.6845667578
723	0.6845459937
724	0.6845152681
725	0.6844956341
726	0.6844700935
727	0.6844433697
728	0.684419872
729	0.6843963382
730	0.6843712865
731	0.6843476125
732	0.6843301294
733	0.6843005652
734	0.6842753022
735	0.6842604477
736	0.6842365864
737	0.6842160045
738	0.6841941706
739	0.6841842577
740	0.6841620066
741	0.6841461795
742	0.6841231498
743	0.6840912841
744	0.6840709083
745	0.6840493399
746	0.6840285174
747	0.6840109804
748	0.6839880954
749	0.6839642747
750	0.6839378276
751	0.6839097291
752	0.6838837732
753	0.6838590129
754	0.683835357
755	0.6838124637
756	0.6837895363
757	0.6837629622
758	0.6837413005
759	0.6837141612
760	0.6836851372
761	0.6836589943
762	0.6836353013
763	0.6836167792
764	0.6835913305
765	0.6835648381
766	0.6835412829
767	0.6835219084
768	0.6834995272
769	0.6834781903
770	0.6834604529
771	0.6834358669
772	0.6834155888
773	0.6833908634
774	0.6833608457
775	0.6833410165
776	0.6833156304
777	0.6832855048
778	0.6832569214
779	0.6832351864
780	0.6832055104
781	0.6831817948
782	0.6831554654
783	0.6831369939
784	0.6831182561
785	0.6831043694
786	0.6830831215
787	0.6830561472
788	0.683029862
789	0.6830115201
790	0.6829843186
791	0.6829601756
792	0.6829416136
793	0.6829162303
794	0.6828845125
795	0.682866875
796	0.6828489807
797	0.6828248149
798	0.682801199
799	0.682775643
800	0.6827509321
801	0.6827288742
802	0.682706097
803	0.6826818218
804	0.6826499106
805	0.6826298628
806	0.6826090366
807	0.6825796489
808	0.6825682189
809	0.6825462972
810	0.6825182033
811	0.6824986432
812	0.6824802174
813	0.6824581719
814	0.6824293507
815	0.6824006812
816	0.6823679266
817	0.6823506562
818	0.682322229
819	0.6823011246
820	0.6822844584
821	0.6822623359
822	0.6822372234
823	0.6822166417
824	0.6821938736
825	0.6821706106
826	0.6821452008
827	0.6821171588
828	0.6820998131
829	0.6820762844
830	0.6820525851
831	0.6820270275
832	0.6820023882
833	0.6819813335
834	0.6819569493
835	0.6819328137
836	0.6819168009
837	0.6818908791
838	0.6818645357
839	0.6818399771
840	0.6818153322
841	0.6817822294
842	0.6817566796
843	0.6817420458
844	0.6817179962
845	0.6816990909
846	0.6816763926
847	0.681655614
848	0.6816380317
849	0.6816148833
850	0.6815900964
851	0.6815724641
852	0.6815510626
853	0.6815377514
854	0.6815106116
855	0.6814828441
856	0.6814635473
857	0.6814488405
858	0.6814193387
859	0.6814004268
860	0.6813871241
861	0.6813606077
862	0.6813380637
863	0.6813181429
864	0.681288041
865	0.6812731511
