iter	Passed	Remaining
409	21208	496067
410	21252	495829
411	21301	495716
412	21351	495641
413	21397	495444
414	21446	495348
415	21491	495119
416	21537	494952
417	21580	494707
418	21625	494488
419	21672	494336
420	21720	494207
421	21765	494012
422	21810	493796
423	21856	493629
424	21899	493382
425	21950	493308
426	21995	493122
427	22043	492999
428	22093	492902
429	22142	492795
430	22188	492635
431	22231	492389
432	22277	492223
433	22331	492216
434	22377	492051
435	22429	492009
436	22474	491816
437	22521	491678
438	22567	491492
439	22610	491271
440	22659	491161
441	22704	490963
442	22746	490727
443	22792	490561
444	22840	490425
445	22888	490312
446	22933	490117
447	22977	489913
448	23021	489707
449	23072	489644
450	23125	489641
451	23177	489605
452	23224	489457
453	23267	489235
454	23318	489166
455	23365	489027
456	23410	488855
457	23457	488718
458	23503	488552
459	23550	488422
460	23598	488308
461	23641	488071
462	23694	488058
463	23738	487876
464	23792	487866
465	23836	487679
466	23885	487571
467	23937	487544
468	23990	487530
469	24034	487346
470	24081	487195
471	24128	487071
472	24171	486853
473	24217	486699
474	24264	486562
475	24315	486509
476	24362	486387
477	24408	486237
478	24459	486182
479	24504	486010
480	24554	485936
481	24603	485844
482	24651	485729
483	24696	485556
484	24738	485339
485	24792	485338
486	24842	485272
487	24888	485120
488	24935	484999
489	24987	484967
490	25035	484849
491	25084	484764
492	25128	484577
493	25179	484532
494	25229	484466
495	25280	484406
496	25328	484308
497	25378	484230
498	25428	484160
499	25473	484003
500	25529	484040
501	25574	483873
502	25621	483744
503	25667	483615
504	25720	483604
505	25764	483419
506	25808	483238
507	25854	483096
508	25903	483003
509	25950	482879
510	25997	482751
511	26048	482717
512	26096	482614
513	26142	482469
514	26185	482279
515	26235	482198
516	26281	482070
517	26327	481929
518	26381	481938
519	26425	481749
520	26471	481612
521	26517	481482
522	26569	481448
523	26616	481336
524	26661	481179
525	26711	481116
526	26751	480873
527	26803	480837
528	26852	480758
529	26903	480714
530	26945	480500
531	26990	480357
532	27039	480275
533	27094	480291
534	27136	480080
535	27181	479930
536	27227	479798
537	27275	479699
538	27320	479549
539	27368	479458
540	27415	479332
541	27459	479181
542	27509	479114
543	27555	478988
544	27599	478806
545	27648	478731
546	27689	478510
547	27736	478411
548	27782	478278
549	27832	478215
550	27874	478012
551	27920	477877
552	27966	477759
553	28017	477709
554	28063	477583
555	28109	477461
556	28158	477388
557	28207	477300
558	28253	477169
559	28302	477094
560	28349	476988
561	28402	476985
562	28449	476874
563	28499	476804
564	28541	476616
565	28589	476522
566	28636	476411
567	28687	476378
568	28735	476276
569	28780	476146
570	28825	476004
571	28878	475984
572	28925	475887
573	28970	475746
574	29019	475664
575	29065	475540
576	29134	475803
577	29180	475670
578	29227	475570
579	29274	475459
580	29319	475312
581	29366	475210
582	29414	475127
583	29467	475107
584	29511	474950
585	29557	474843
586	29601	474681
587	29651	474630
588	29701	474567
589	29749	474480
590	29798	474408
591	29848	474354
592	29896	474266
593	29942	474146
594	29995	474137
595	30039	473984
596	30082	473816
597	30130	473724
598	30181	473688
599	30224	473515
600	30276	473492
601	30322	473374
602	30366	473221
603	30417	473179
604	30470	473174
605	30513	473004
606	30562	472945
607	30612	472887
608	30659	472773
609	30702	472618
610	30753	472572
611	30799	472454
612	30844	472326
613	30895	472295
614	30941	472175
615	30994	472161
616	31040	472043
617	31093	472043
618	31138	471902
619	31185	471813
620	31230	471669
621	31273	471523
622	31321	471431
623	31370	471367
624	31426	471402
625	31480	471407
626	31527	471304
627	31574	471199
628	31627	471194
629	31671	471057
630	31715	470901
631	31760	470779
632	31802	470609
633	31848	470486
634	31895	470399
635	31940	470266
636	31982	470097
637	32031	470033
638	32075	469892
639	32126	469850
640	32170	469706
641	32220	469663
642	32266	469543
643	32309	469395
644	32357	469302
645	32402	469182
646	32457	469205
647	32507	469145
648	32550	468993
649	32602	468967
650	32660	469040
651	32713	469023
652	32766	469018
653	32814	468930
654	32860	468831
655	32911	468781
656	32957	468682
657	33008	468633
658	33051	468490
659	33099	468412
660	33144	468290
661	33195	468240
662	33245	468195
663	33288	468044
664	33336	467958
665	33384	467889
666	33431	467788
667	33482	467758
668	33530	467676
669	33577	467572
670	33624	467482
671	33666	467327
672	33714	467242
673	33763	467172
674	33812	467108
675	33860	467036
676	33905	466911
677	33959	466918
678	34004	466804
679	34055	466764
680	34105	466707
681	34151	466609
682	34201	466558
683	34246	466428
684	34296	466381
685	34348	466352
686	34399	466317
687	34449	466273
688	34498	466202
689	34548	466152
690	34600	466133
691	34649	466070
692	34698	465997
693	34744	465897
694	34792	465815
695	34840	465735
696	34882	465584
697	34927	465468
698	34970	465327
699	35016	465221
700	35064	465147
701	35113	465074
702	35155	464929
703	35198	464786
704	35243	464667
705	35293	464614
706	35341	464532
707	35392	464495
708	35437	464383
709	35482	464270
710	35536	464278
711	35580	464141
712	35627	464060
713	35672	463945
714	35716	463820
715	35762	463714
716	35808	463606
717	35854	463506
718	35899	463397
719	35949	463343
720	36000	463315
721	36052	463286
722	36097	463180
723	36141	463056
724	36190	462984
725	36233	462845
726	36280	462764
727	36329	462702
728	36377	462633
729	36428	462587
730	36472	462465
731	36520	462388
732	36564	462265
733	36613	462208
734	36664	462168
735	36706	462024
736	36760	462024
737	36815	462034
738	36887	462265
739	36953	462412
740	37012	462484
741	37067	462491
742	37130	462608
743	37179	462549
744	37231	462517
745	37277	462425
746	37328	462386
747	37398	462579
748	37447	462522
749	37495	462438
750	37545	462397
751	37597	462364
752	37649	462345
753	37705	462363
754	37759	462368
755	37818	462430
756	37874	462454
757	37928	462445
758	37983	462458
759	38039	462483
760	38095	462502
761	38152	462533
762	38278	463401
763	38404	464272
764	38508	464871
765	38586	465151
766	38648	465249
767	38714	465385
768	38822	466019
769	38958	466993
770	39060	467561
771	39151	467987
772	39268	468736
773	39367	469253
774	39433	469386
775	39512	469669
776	39580	469826
777	39648	469974
778	39823	471386
779	39948	472217
780	40067	472966
781	40159	473392
782	40244	473736
783	40302	473763
784	40366	473856
785	40436	474026
786	40522	474370
787	40600	474638
788	40677	474878
789	40750	475081
790	40827	475321
791	40904	475564
792	40988	475885
793	41078	476281
794	41146	476419
795	41217	476589
796	41271	476568
797	41337	476680
798	41404	476799
799	41475	476973
800	41558	477277
801	41649	477672
802	41718	477812
803	41790	477996
804	41865	478199
805	41936	478363
806	42030	478796
807	42112	479076
808	42177	479175
809	42240	479248
810	42307	479363
811	42431	480119
812	42621	481628
813	42690	481766
814	42744	481724
815	42802	481740
816	42872	481881
817	42924	481828
818	43005	482095
819	43070	482176
820	43129	482195
821	43201	482358
822	43266	482447
823	43334	482574
824	43403	482697
825	43477	482886
826	43537	482912
827	43589	482856
828	43631	482687
829	43687	482666
830	43736	482570
831	43790	482539
832	43833	482375
833	43923	482734
834	43999	482938
835	44073	483122
836	44122	483023
837	44171	482931
838	44222	482861
839	44270	482758
840	44314	482611
841	44366	482551
842	44443	482767
843	44513	482898
844	44609	483311
845	44696	483630
846	44783	483948
847	44831	483840
848	44879	483738
849	44929	483648
850	44982	483603
851	45029	483483
852	45080	483412
853	45124	483266
854	45173	483174
855	45226	483115
856	45273	483001
857	45319	482883
858	45369	482796
859	45419	482713
860	45464	482573
861	45514	482495
862	45565	482419
863	45633	482528
864	45745	483108
865	45838	483471
866	45909	483608
867	45966	483598
868	46020	483563
869	46071	483481
870	46119	483376
871	46165	483258
872	46213	483149
873	46293	483379
874	46381	483693
875	46457	483883
876	46509	483815
877	46576	483906
878	46642	483993
879	46688	483864
880	46738	483781
881	46783	483637
882	46832	483551
883	46891	483556
884	46949	483555
885	46998	483459
886	47051	483400
887	47131	483628
888	47222	483963
889	47302	484189
890	47361	484189
891	47411	484105
892	47457	483977
893	47507	483896
894	47555	483790
895	47615	483804
896	47667	483741
897	47711	483599
898	47769	483590
899	47840	483720
900	47907	483803
901	47967	483826
902	48019	483758
903	48069	483676
904	48115	483544
905	48166	483472
906	48214	483362
907	48260	483241
908	48304	483102
909	48349	482963
910	48393	482819
911	48441	482714
912	48488	482604
913	48535	482487
914	48582	482375
915	48633	482298
916	48681	482198
917	48731	482112
918	48776	481977
919	48823	481862
920	48874	481795
921	48921	481682
922	48967	481558
923	49016	481467
924	49062	481338
925	49110	481241
926	49158	481137
927	49213	481104
928	49262	481009
929	49310	480914
930	49356	480793
931	49405	480693
932	49455	480615
933	49502	480499
934	49547	480374
935	49592	480238
936	49638	480122
937	49687	480031
938	49737	479951
939	49789	479885
940	49835	479769
941	49884	479670
942	49932	479573
943	49983	479499
944	50026	479349
945	50068	479192
946	50111	479052
947	50154	478898
948	50199	478771
949	50240	478604
950	50283	478456
951	50325	478308
952	50370	478180
953	50411	478012
954	50458	477906
955	50509	477832
956	50555	477710
957	50598	477572
958	50641	477427
959	50691	477348
960	50777	477608
961	50870	477925
962	50936	478003
963	50987	477930
964	51036	477842
965	51087	477773
966	51130	477625
967	51178	477522
968	51225	477417
969	51269	477278
970	51313	477150
971	51354	476987
972	51398	476849
973	51443	476723
974	51490	476620
975	51535	476493
976	51585	476417
977	51632	476308
978	51677	476186
979	51723	476066
980	51769	475949
981	51822	475901
982	51875	475855
983	51928	475803
984	51975	475694
985	52020	475568
986	52065	475444
987	52111	475331
988	52155	475204
989	52201	475086
990	52247	474973
991	52290	474828
992	52333	474693
993	52381	474591
994	52428	474487
995	52472	474357
996	52518	474246
997	52567	474158
998	52612	474035
999	52660	473947
1000	52708	473850
1001	52752	473720
1002	52798	473607
1003	52842	473477
1004	52888	473361
1005	52935	473266
1006	52980	473143
1007	53030	473063
1008	53077	472964
1009	53127	472888
1010	53172	472769
1011	53220	472671
1012	53268	472576
1013	53315	472477
1014	53357	472335
1015	53407	472258
1016	53472	472316
1017	53545	472437
1018	53600	472410
1019	53657	472397
1020	53707	472322
1021	53755	472228
1022	53812	472210
1023	53866	472170
1024	53923	472162
1025	53971	472064
1026	54018	471962
1027	54068	471888
1028	54110	471742
1029	54161	471680
1030	54203	471537
1031	54254	471465
1032	54302	471372
1033	54344	471227
1034	54392	471138
1035	54438	471030
1036	54486	470937
1037	54529	470804
1038	54577	470711
1039	54629	470652
1040	54676	470554
1041	54725	470473
1042	54776	470409
1043	54828	470344
1044	54874	470236
1045	54917	470109
1046	54971	470066
1047	55026	470036
1048	55078	469974
1049	55131	469933
1050	55181	469854
1051	55227	469748
1052	55275	469655
1053	55322	469560
1054	55383	469580
1055	55444	469597
1056	55504	469607
1057	55559	469574
1058	55619	469590
1059	55683	469635
1060	55747	469672
1061	55809	469702
1062	55875	469768
1063	55948	469881
1064	56012	469926
1065	56074	469950
1066	56145	470057
1067	56207	470082
1068	56268	470095
1069	56330	470122
1070	56396	470184
1071	56457	470200
1072	56509	470141
1073	56555	470028
1074	56602	469933
1075	56653	469865
1076	56695	469726
1077	56744	469638
1078	56785	469497
1079	56828	469362
1080	56870	469222
1081	56920	469148
1082	56971	469080
1083	57015	468958
1084	57065	468884
1085	57111	468777
1086	57157	468666
1087	57204	468568
1088	57248	468452
1089	57295	468352
1090	57344	468268
1091	57392	468181
1092	57437	468069
1093	57479	467931
1094	57523	467806
1095	57568	467689
1096	57617	467610
1097	57659	467475
1098	57708	467395
1099	57756	467302
1100	57798	467167
1101	57844	467062
1102	57888	466938
1103	57933	466823
1104	57979	466720
1105	58025	466614
1106	58073	466528
1107	58117	466411
1108	58158	466265
1109	58204	466161
1110	58256	466102
1111	58304	466013
1112	58351	465923
1113	58394	465792
1114	58441	465694
1115	58486	465588
1116	58533	465492
1117	58578	465380
1118	58620	465248
1119	58667	465146
1120	58718	465084
1121	58759	464947
1122	58813	464904
1123	58860	464812
1124	58914	464770
1125	58962	464681
1126	59012	464609
1127	59057	464500
1128	59104	464411
1129	59146	464270
1130	59194	464185
1131	59237	464062
1132	59286	463981
1133	59327	463841
1134	59374	463747
1135	59418	463630
1136	59460	463498
1137	59504	463379
1138	59547	463258
1139	59595	463172
1140	59641	463074
1141	59690	462995
1142	59737	462901
1143	59782	462792
1144	59828	462692
1145	59872	462578
1146	59919	462483
1147	59969	462409
1148	60018	462334
1149	60064	462233
1150	60107	462112
1151	60152	462004
1152	60195	461885
1153	60239	461766
1154	60283	461648
1155	60326	461526
1156	60372	461427
1157	60417	461320
1158	60463	461224
1159	60510	461128
1160	60555	461025
1161	60603	460940
